rus,eng,translations,model_translation
мальчик едва не утонул,the boy almost drowned,the boy was almost drowned,the boy narrowly almost drowning
это растение съедобно,this plant is edible,this is a <unk> <unk>,this this legal
том бросил взгляд на остальных,tom glanced at the others,tom pointed to his hamster,tom threw the the in the
думаешь том готов,do you think tom is ready,do you think tom is ready,do you think tom will ready
мы двоюродные сёстры,we're cousins,we 're cousins,we're cousins
я не должна была идти,i didn't have to go,i should n't go,i shouldn't have to
мне нужно моё,i need mine,i need mine,i need my
что том ел на ужин,what did tom eat for dinner,what did tom do for dinner,what did tom wear dinner dinner
тому не хочется никуда идти,tom doesn't want to go anywhere,tom does n't want to go anywhere,tom doesn't not to go anywhere
том давай быстрей,tom hurry it up,tom is waiting for an hour,tom hurry up
том художник,tom is an artist,tom is a painter,tom is a painter
это не французский а английский,this isn't french it's english,it 's not french english,this isn't french friend english
английский сложнее японского,is english harder than japanese,english is <unk> english,english is heavy
не думаю что том понимает,i don't think that tom understands,i do n't think tom understands,i don't think tom tom
когда вы будете убирать пшеницу,when will you harvest your wheat,when will you be spending the <unk>,when will you be to go
это канцерогенно,this is carcinogenic,that 's <unk>,this it
я всегда буду вас помнить,i will always remember you,i 'll always remember you,i'll always eat you
я проспал девять часов,i slept nine hours,i slept for nine hours,i slept ten nine hours
давайте поделим деньги,let's share the money,let 's share money,let's the money money
где я могу тебя увидеть,where can i see you,where can i see you,where can i see you
у меня грипп,i have the flu,i have a <unk>,i have the flu
не думаю что том спит,i don't think tom is asleep,i do n't think tom is asleep,i don't think tom's tom is
мой отец не пьёт горячительное,my father doesn't drink liquor,my father does n't drink alcohol,my father doesn't drink
какие они из себя,what are they like,what are they talking about,what are of of
ожидание затянулось,the wait was too long,the <unk> are <unk>,the cream
сколько у тома дочерей,how many daughters does tom have,how many sisters does tom have,how tom's have are have have
это было бы неуместно,that would be inappropriate,that would be irresponsible,it would be
у меня влажные ладони,my palms are damp,my battery is dead,i'm have are swollen
я боялась,i was afraid,i was afraid,i was afraid
когда за тобой завтра заехать,when should i pick you up tomorrow,when will you go tomorrow,when will you tomorrow pick
вы совсем не изменились,you haven't changed at all,you 're not at all the same thing,you haven't changed at
он преподаёт английский язык,he teaches english,he teaches english english,he teaches english english
я подставил тома,i framed tom,i 'm tom 's bodyguard,i'm tom tom
это было давным-давно,it was ages ago,it was a long time ago,it was a long time ago
мы знали что том выиграет,we knew tom would win,we knew tom would win,we knew tom tom win
это разрушило мою жизнь,it ruined my life,this is my life life,this my life
он заслужил быть повешенным,he deserved to be hanged,he deserved to be a singer,he earned to
можете сесть на стул,you may sit down on the chair,you can sit down for the chair,you can enter a the chair
том не торопится,tom isn't in a hurry,tom is n't a <unk>,tom isn't taking a hurry
они нас нашли,they found us,they found us,they find find
не повторяйте моих ошибок,don't make the same mistakes i made,do n't make my mistakes,don't answer the mistakes
мне не нравится этот рассказ,i don't like that story,i do n't like that story,i don't like this story
не обращайте на них внимания,ignore them,do n't buy attention to them,don't to attention them
том сказал что мэри храпит,tom said mary snored,tom said mary was unhappy,tom said mary mary snored
клянусь что никому не скажу,i swear i won't tell anyone,i swear not to tell anyone,i promise telling tell tell anyone
они попрощались друг с другом,they said goodbye to each other,they 're friends with each other,they're watch friend friend other
я подругу жду,i'm waiting for a friend,i 'm waiting for a while,i'm a for of of
у тома нет ответа,tom has no answer,tom does n't have an answer,tom has have an answer
можно взять ненадолго твою машину,can i use your car for a little while,can i borrow your car,can i have a the the
боюсь будет снег,i'm afraid it's going to snow,i 'm afraid to snow soon,i'm afraid it'll will snow
том сказал что не женат,tom said that he wasn't married,tom said he was single,tom said he wasn't wasn't
мы собираемся начать,we're going to begin,we 're going to start,we're going to start start
том посоветовал мэри уйти пораньше,tom advised mary to leave early,tom advised mary to leave early,tom advised mary to leave early
тому это не понравилось,tom didn't like that,tom did n't like it,tom didn't like it
том описал что произошло,tom described what had happened,tom swore what happened,tom described what happened
у меня завтра йога,i have a yoga class tomorrow,i have a <unk> tomorrow,i'm got tomorrow
что сподвигло тома на это,what made tom do that,what 's tom staring at,what's tom tom it
вы знали что том вегетарианец,did you know tom was a vegetarian,did you know tom was going to be late,did knew i tom was vegetarian vegetarian
мы вас скоро навестим,we'll visit you soon,we 'll soon catch you,we'll will come soon
я купила это для брата,i bought this for my brother,i bought this for some cake,i bought this for of
я не единственный,i'm not the only one,i 'm not the only one who is dying,i'm not the the
альтернатив немного,there are few alternatives,get some rest,france is a
я наслаждаюсь этим,i'm enjoying it,i 'll take it,i finished this
они друзья тома,they're friends of tom's,they 're friends of tom,they're friends friends
вы должны нам сказать,you must tell us,you have to tell us,you should to us
весь пол был в крови,there was blood all over the floor,the floor was on the floor,the the was was the the
я принимаю антибиотики,i'm taking antibiotics,i accept myself,i on
кто тебе сказал,who told you that,who told you,who told you
мы зашли слишком далеко,we've gone too far,we 're too far to survive,we went late far far
ребёнок - это головная боль,the kid is a pain in the neck,the baby is <unk>,the child is a headache
вы слишком медлительный,you're too slow,you 're too polite,you're too slow
я дописал письмо на английском,i finished writing a letter in english,i tore the letter into the mud,i fell a a
том больше не сможет победить,tom won't be able to win again,tom wo n't be able to win anymore,tom won't be be able
у тебя гитара с собой,do you have your guitar with you,you have a lot of <unk>,do you guitar television
у нас есть элегантное решение,we have an elegant solution,we have a solution solution,we have a solution
это бесперспективные отношения,it's a dead-end relationship,this is a <unk> <unk>,this is
я ждал тебя,i was expecting you,i waited for you,i waited for you
они покинули судно,they abandoned the ship,they hurried the ship,they ran away ship
пошёл снег,it began to snow,it is snow yesterday,it snow snow
переговоры продолжаются,discussions are going on,negotiations are <unk>,the negotiations
я пришёл чтобы спасти вас,i came to save you,i came to save you,i came to save you
ты можешь доверять тому,can you trust tom,can you trust tom,can you trust tom
я рада что ты пришёл,i'm glad that you came,i 'm glad you came,i'm glad you came
не слишком зазнавайся,don't get too cocky,do n't eat too much,don't too a a
на меня упала капля дождя,i felt a drop of rain,i was wearing a rain on the rain,i got listening of to her
я скучаю по своей семье,i miss my family,i miss my family,i miss my family
они были пьяны,they were drunk,they were <unk>,they were drunk
это всё ещё работает,does it still work,is that still working,this all still working
пей много воды,drink a lot of water,drink some water,drink a lot of water water
том пошёл на кладбище один,tom went to the cemetery by himself,tom went to the beach alone,tom went on alone
отличных вам выходных,have a great weekend,you 'll get better,you you a holiday
я пишу сообщение тому,i'm texting tom,i 'm texting tom 's message,i'm writing tom's message tom
боюсь что ты прав,i'm afraid you're right,i 'm afraid you 're right,i'm think you're
сервер был недоступен,the server was down,the <unk> was <unk>,the server was not
ты знаешь пароль тома,do you know tom's password,do you know tom 's password,do you know tom's password
некоторые канадские территории почти безлюдны,some canadian territories have almost no people,some <unk> are <unk> <unk>,some people are are fruit
надеюсь ты понимаешь,i hope you understand,i hope you understand,i hope you understand
давай признай это,come on admit it,let 's take it away,let's throw it
скажите мне куда мы едем,tell me where we're going,tell me where we 're going,tell me where we going
том заказал одно,tom ordered one,tom ordered one,tom ordered one
том потерял ботинки,tom lost his shoes,tom lost his shoes,tom lost his shoes
вам следует научиться пользоваться словарём,you should learn how to use your dictionary,you should use your dictionary,you should learn to use a dictionary dictionary
ты правда школьный учитель,is it true you're a high school teacher,are you really a teacher teacher,are you really new teacher teacher
ты мог бы меня пригласить,you could invite me,you could 've invited me,you could find me
не думаю что том понял,i don't think that tom understood,i do n't think tom understood,i don't think tom understood
его тут нет,he is not here,it is n't here,it is no here
том не умеет свистеть,tom can't whistle,tom ca n't whistle,tom can't swim
мне нужно много книг,i need many books,i need to see books,i need a lot of books
этот пустой,this one is empty,this one 's empty,this is is
энтузиазм заразителен,enthusiasm is contagious,the <unk> are <unk>,
том попросил меня не уходить,tom asked me not to leave,tom asked me not to leave,tom asked me to to leave
мы смотрели старые фильмы,we watched old movies,we watched the movies,we watched watching old movies movies
вы разгадали загадку,have you solved the mystery,you 're the expert,you're the
ты сам виноват,that's your own fault,you 're yourself,you're your your fault
пожалуйста расскажите свою историю,please go on with your story,please tell your story,please tell your story
не знаю почему,i don't know why,i do n't know why,i don't know why
не усложняй том,keep it simple tom,do n't let tom go,isn't is be tom
вы куда-то направляетесь,are you heading somewhere,are you going to miss the others,why are you heading
мы все были на вечеринке,we were all present at the party,we were all at the party,we were all at the party
том не был известен,tom was not famous,tom was n't a <unk>,tom wasn't no
том нам готовит,tom cooks for us,tom is going to cook us,tom is us us
растения чувствуют боль,can plants feel pain,the <unk> was <unk>,the ideas are
он сдал экзамен,he passed the exam,he passed the exam,he fell the examination examination
том не боится пауков,tom isn't scared of spiders,tom is n't afraid of dying,tom isn't afraid of spiders
нам нужна скорая,we need an ambulance,we need a loan,we need to
пословицы полны мудрости,proverbs are full of wisdom,the <unk> was <unk> by the hunter,the doors is is refrigerator
почему это происходило,why was that happening,why is it <unk>,why is it going
мне никто никогда не помогал,nobody ever helped me,no one helped me anything,i one helped helped
вы хорошо рассмотрели его лицо,did you get a good look at his face,did you get well his face,you you watch well well john
я хотела сделать тому больно,i wanted to hurt tom,i wanted to hurt tom,i wanted to do tom tom
мы слишком уязвимы,we're too vulnerable,we 're too slow,we're too reasonable
нам надо быть реалистами,we have to be realistic,we have to be careful,we have to be realistic realistic
во сколько вы обычно завтракаете,what time do you usually have breakfast,what time do you usually wake up,what time do you eat eat breakfast
хочешь знать кто помогал,do you want to know who helped,do you want to know who helped,do you want to know who helped
этого хватит,that'll be enough,that 's enough,this be enough
ветер дует с юга,the wind is blowing from the south,the wind was blowing with the wind,the wind is heavily
некоторые вещи никогда не меняются,some things never change,some people do n't seem to suffer,some or never never change change
боюсь я должен попрощаться,i'm afraid i must say goodbye,i 'm afraid i should get lost,i'm afraid i to say say
скоро рассветёт,day will break soon,it 'll soon be dark,it's soon
вы не принесёте мне воды,can you get me some water,would you lend me some water,you you give water water
я единственная кто выжил,i'm the only one who survived,i 'm the only one who survived,i'm the only one who
что ещё тебе надо сделать,what else do you have to do,what else do you have to do,what else do you have to
теперь тебе нужно отдохнуть,you need to rest now,you need to rest now,you you a rest rest
ты совсем из ума выжил,have you completely lost your mind,you 're completely insane,you're only of of the
не пытайтесь меня поймать,don't try to catch me,do n't make me guess,don't try to catch me
я никогда снова не влюблюсь,i will never fall in love again,i 'll never try again,i'm never single
том нарисовал эту картину,tom painted this picture,tom drew the picture,tom drew this picture
том посмеивался,tom was chuckling,tom is <unk>,tom tom
для чего я это делаю,what am i doing this for,what do i do that,what for you do this
том не шахтёр,tom isn't a miner,tom is n't a <unk>,tom isn't
мне бы хотелось бегать быстрее,i wish that i could run faster,i 'd like to run faster,i like like to faster
я совершенно согласен с вами,i strongly agree with you,i totally agree with you,i totally agree with you
я путешествую налегке,i'm traveling light,i 'm a <unk>,i'm traveling
я доволен результатами выборов,i'm pleased with the election results,i 'm satisfied with the results,i'm satisfied with the the the the the
вот почему я сюда пришёл,that's why i came here,that 's why i came here,that's why i i here here
я закончила первой,i finished first,i 'm the one who got to stay,i'm finished the
ладно идея понятна,ok i get the idea,ok is the idea,well so smell bad
тому завтра работать,tom has to work tomorrow,tom is going to work tomorrow,tom is working tomorrow tomorrow
вам не жарко,don't you feel hot,you 're not hot,aren't not hot
вы с томом,are you with tom,are you with tom,are you with tom
ледяные покровы тают,the ice sheets are melting,the <unk> was <unk> by the hunter,
том её ещё не нашёл,tom hasn't found it yet,tom has n't found it yet,tom didn't done it yet
труп тома был кремирован,tom's body has been cremated,tom 's intentions was <unk>,tom's body was been
сначала нам надо найти тома,we've got to find tom first,we have to find tom 's place,i should tom find to tom
том невозможен,tom's impossible,tom is <unk>,tom tom
её волосы мокрые от пота,her hair is wet with sweat,her hair is <unk> with anger,her hair is grown in prison
что в грузовике,what's in the truck,what 's in the boxes,what's in the
кто лучший человек для работы,who's the best person for the job,who 's looking for the kids,who the best best for for
дождь стучал в окна,the rain was beating against the windows,the rain ended in the window,the beauty is in the
моя жена разрыдалась,my wife burst into tears,my wife is <unk>,my wife wife
сколько здесь канадцев,how many canadians are here,how many students are here,how many are are here
этот зал вмещает 5000 человек,this hall can hold 5000 people,this man is a man of <unk> people,this boy is just arrested
почему ты ничего не делаешь,why aren't you doing anything,why do n't you do anything,why aren't you nothing anything
том сказал мэри его подождать,tom told mary to wait for him,tom told mary to find it,tom told mary to wait for
том снял копию,tom made a copy,tom took off his mask,tom took a comb
разве мы не друзья,aren't we friends,are n't you friends,isn't not at
ты сама не своя,you're not yourself,you 're not yourself,you you live yourself
твоя очередь это делать,it's your turn to do that,it 's your turn to do that,is your is to to
этот металл называется цинком,this metal is called zinc,this <unk> is a <unk> <unk>,this is is is
это была смешная шутка,that was a funny joke,it was a joke joke,it was a a joke
я увижу тома,i'll see tom,i 'll see tom,i'll see see tom
можете съездить туда если хотите,you can go there if you want,you can go there if you want,you can go there if you want
не двигайтесь даже не дышите,don't move don't even breathe,do n't hesitate to even wake up,don't don't even don't breathe
это был хороший знак,that was a good sign,it was a good sign,it was a good sign
я очень быстра,i'm very fast,i 'm very <unk>,i very very
я знаю что том невысокий,i know that tom is short,i know that tom is irresponsible,i know that tom is
моё пальто лёгкое но тёплое,my overcoat is light but warm,my coat is <unk> than wealth,my coat is famous to to becoming
босс накричал на меня,the boss bawled me out,the monkey is on the shelf,the shoes is at me
можно воспользоваться вашим карандашом,can i use your pencil,may i use your pencil,can i use your pencil
том стал мыть свою машину,tom started washing his car,tom has his car to his car,tom has washing his car car
это имитация,that's an imitation,that 's <unk>,this it
я рисковал всем,i risked everything,i 'm <unk> everyone,i broke all
вы знаете почему это происходит,do you know why this is happening,do you know why that 's happening,do know know why this happening
ты неправильно понял,you've misunderstood,you misunderstood,you misunderstood wrong wrong
том сделал это нарочно,tom has done that on purpose,tom did that on purpose,tom did it on purpose
ты девушка тома,are you tom's girlfriend,you 're the girl tom,are you girlfriend tom
ты рассказал тому о мэри,did you tell tom about mary,did you tell tom about mary,did you tell tom about mary
я думаю ты умнее тома,i think you're smarter than tom,i think you 're smarter than tom,i think you're smarter than tom
света недостаточно чтобы читать,there is insufficient light for reading,the <unk> wo n't be able to read,the don't are have to to a
том этого не понимает,tom doesn't understand this,tom does n't understand that,tom doesn't know that
том клянётся что он невиновен,tom swears he's innocent,tom claimed he was innocent,tom is he
он боится красивых женщин,he's intimidated by beautiful women,he is afraid of wild animals,he is most of of women
том был сердит на мэри,tom was mad at mary,tom was obsessed at mary,tom was angry with mary
я приготовлю тебе завтрак,i'll make you breakfast,i 'll make you breakfast,i'll cook you breakfast
твои полчаса почти истекли,your thirty minutes are almost up,your glass is almost ripe,your two is almost up away
ты путаешь меня с томом,you're confusing me with tom,you 're flirting with me tom,you're outdone me with tom
у тома есть брат,does tom have a brother,tom has a brother,tom has have brother brother
том нам ничего не платит,tom doesn't pay us anything,tom does n't find us anything,tom won't eat anything anything
ненавижу людей которые так говорят,i hate people who talk like that,i hate people so stupid,i hate people women women what
том сказал мне правду,tom told me the truth,tom told me the truth,tom told me the truth
я люблю приезжать в бостон,i like coming to boston,i like to visit boston,i love in boston
свидетелей не было,there were no eyewitnesses,there was no alternative,the wasn't no
мы с ней ровесники,she and i are the same age,she and i are aware of her,we and the age age
оставьте мне обед,save dinner for me,leave me lunch,leave me a
я думал что могу идти,i thought i could go,i thought i could go,i thought i could go
он сказал мне не лгать,he told me not to tell lies,he told me not to lie,he told me to to to
том не в больнице,tom isn't in the hospital,tom is n't in the hospital,tom isn't in the hospital
тебе не заменить тома,you can't replace tom,you 're not tom 's assistant,you you help tom
почему ты хочешь сделать это,why do you want to do this,why do you want to do that,why do you want to do that
я позже вам отвечу,i'll get back to you,i 'll come for you later,i'll accompany you you
певица из меня так себе,i'm not very good at singing,i 'm not the one who took that picture,good good hard of well
она у меня в кармане,it's in my pocket,she has a hole in my neck,she my my pocket
я много не ем,i don't eat much,i do n't eat much,i not a lot
кто изобрёл очки,who invented glasses,who invented the glasses,who invented glasses glasses
мы можем сейчас позвонить тому,can we call tom now,can we call tom now,we we help tom now
я готов помочь,i'm ready to help,i 'm ready to help,i'm ready to help
я был в забытьи,i was unconscious,i was horrified,i was horrified
тебе нравится твоё имя,do you like your name,do you like your name,do you your your name
у меня нет выбора,i've got no choice,i do n't have a choice,i have have choice choice
я ненавижу свой голос,i hate my voice,i hate my voice,i hate my voice
ты планируешь переезжать,do you plan on moving,do you plan to wear breakfast,do you planning on moving
как говорится любовь слепа,they say love is blind,how do you like <unk>,how does are think tom
собери всех внизу,get everybody downstairs,the rescue is downstairs,everyone's downstairs
том казался занятым,tom looked busy,tom seemed to be daydreaming,tom seemed busy busy
что это за фиолетовое пятно,what's this purple stain,what kind of rope is this,what's is of grapes
погода вчера была ужасная,the weather yesterday was horrible,the weather was awful yesterday,the weather was was haunted
как я могу вас отблагодарить,how can i thank you,how can i convince you,how can i ask you
ты сваляла дурака,you made a fool of yourself,you 're a <unk>,are you like
вы себя вели хорошо сегодня,did you behave today,you look good at yourself,did you cousins homework today
эту историю мне рассказал том,it was tom that told me this story,that story me tom,i'm sentence one one who told
том говорил с тобой,did tom talk to you,did tom speak with you,did spoke with with you
на кухне был беспорядок,the kitchen was a mess,there was a kitchen in the kitchen,the kitchen was in the the
мой брат — ветеринар,my brother is a vet,my brother is a <unk>,mine
пожалуйста не кладите трубку,hold on please,please do n't hang up the door,please don't the line
моя тётя прожила счастливую жизнь,my aunt lived a happy life,my aunt saved a life of life,my aunt also a known life life
проблема не в тебе,the problem isn't you,the problem is n't you,the problem not not
том хочет пройтись,tom wants to walk,tom wants to get drunk,tom wants to walk
она уступила место пожилой женщине,she offered her seat to an old woman,she <unk> her <unk>,she held the build to a woman
я развязала ленту,i untied the ribbon,i 'm a <unk>,i'm the notes
ты посмотрела фильм,did you watch the movie,you 're a great movie,did looked reading the movie
спасибо за фото,thanks for the photo,thanks for the <unk>,thanks for the picture
делайте уроки,do your homework,do your homework,do your homework homework
это всегда небезопасно,it's never safe,that 's always unfair,it's is always unsafe
чем ты ещё занимаешься,what else do you do,what are you doing,what're are you you do
они ушли,they left,they left,they left gone
я буду ждать вас здесь,i'll be waiting for you here,i 'll wait for you here,i'll be waiting for you
мы переночевали в бостоне,we stayed overnight in boston,we 'll stay in boston,we're in in
почему у тома столько врагов,why does tom have so many enemies,why is tom so hard,why does tom a ignorant
все этого хотят,everyone wants that,everybody wants it,everybody wants want
не уроните её,don't drop it,do n't disappoint her,don't let it
мой дядя подарил мне фотоаппарат,my uncle gave me a camera,my uncle gave me a camera,my uncle gave me a camera
наденьте ботинки,put on your shoes,put your shoes on,put on shoes on
том разгадал эту тайну,tom solved the mystery,tom <unk> the lawn,tom has coordinating this
какой ты грубый,you're so rude,which one are you,what's are clever
ваши инструкции выполняются,your instructions are being carried out,your demands are <unk>,are your are are carried
мы немедленно стали лучшими друзьями,we became best friends immediately,we became friends immediately,we immediately immediately
не забудь запереть дверь,remember to lock the door,do n't forget to lock the door,don't forget to lock the door
том заснул во время экзамена,tom fell asleep during the exam,tom fell asleep during the lecture,tom fell asleep for the the the
я принесу нам ещё вина,i'll get us some more wine,i 'll bring another more wine,i'll give us another other
почему люди целуются,why do people kiss,why do people die,why are are attentively
вы были больны,you were sick,you were sick,you were sick
